name;fam;hg;hemero;soceko;lf;lf_opis;class;choria;chory;pollen vector;pollen;csr;urbanity;stare lasy;L;T;C;M;SR;N
Alliaria petiolata;Brassicaceae;ap;2;3;H;H;Art.-Vulg;anemo;anemo;selfing;selfing;cr;2;0;5;6;3;5;7;9
Anthriscus sylvestris;Apiaceae;ap;3;3;H;H;Art.-Vulg;anemo;anemo;insects;insects;c;3;0;7;x;5;5;x;8
Bidens frondosa;Asteraceae;kn;4;11;T;T;Bidentetea;zoo, hydro;zoo;selfing;selfing;cr;3;0;7;6;x;8;7;8
Brachythecium rutabulum;Brachytheciaceae;ap;0;0;mech;0;0;0;0;0;0;0;0;0;5;x ;5;4;x ;x
Brachythecium velutinum;Brachytheciaceae;sp;0;0;mech;0;0;0;0;0;0;0;0;0;5;3;5;4;6;x
Bromus tectorum;Poaceae;arch;4;14;T;T;Ste-Med.;anemo;anemo;self/cleisto;selfing;r;3;0;8;6;7;3;8;4
Calamagrostis epigeios;Poaceae;ap;4;2;G;G;Epilobietea;anemo;anemo;wind;wind;c;3;0;7;5;7;x;x;6
Calliergon giganteum;Amblystegiaceae;sp;0;0;mech;0;Sch-Cari;0;0;0;0;0;0;0;8;3;5;8;8;x
Calliergonella cuspidata;Amblystegiaceae;sp;0;0;mech;0;0;0;0;0;0;0;0;0;8;3;5;7;7;x
Calystegia sepium;Convolvulaceae;ap;2;12;G;GHLi;Art.-Vulg;hydro, baro;hydro;insects;insects;c;3;0;8;6;5;6;7;9
Carex hirta;Cyperaceae;ap;4;10;G;G;Mol-Arr;anemo;anemo;wind;wind;c;3;0;7;6;3;6;x;5
Carex paniculata;Cyperaceae;sp;p1;6;H;H;Phragm;anemo, hydro;anemo;wind;wind;cs;1;0;7;x;3;9;6;4
Chenopodium strictum;Chenopodiaceae;kn;1;14;T;T;Ste-Med.;anemo, zoo, antropo;anemo;wind;wind;cr;5;0;9;7;7;4;x;6
Cirsium oleraceum;Asteraceae;ap;p3;8;H;H;Mol-Arr;anemo;anemo;insects;insects;c;2;0;6;x;3;7;7;5
Crataegus rhipidophyla;Rosaceae;sp;I;1;N;N;Rha-Pru;zoo;zoo;insects, selfing;insects;c;2;0;x;x;x;x;x;x
Dactylis glomerata;Poaceae;ap;5;9;H;H;Mol-Arr;anemo;anemo;wind;wind;c;3;0;7;x;3;5;x;6
Deschampsia cespitosa;Poaceae;ap;2;8;H;H;Mol-Arr;anemo;anemo;wind;wind;c;2;0;6;x;x;7;x;3
Dryopteris carthusiana;Aspidiaceae;ap;1;1;H;H;0;anemo;anemo;0;0;cs;2;1;5;x;3;x;4;3
Dryopteris dilatata;Aspidiaceae;ap;1;1;H;H;Vac-Pic;anemo;anemo;wind;wind;cs;1;1;4;x;3;6;x;7
Dryopteris filix-mas;Aspidiaceae;ap;1;1;H;H;Que-Fag;anemo;anemo;0;0;cs;2;1;3;x;3;5;5;6
Elymus repens;Poaceae;ap;6;10;G;G;Art.-Vulg;anemo;anemo;wind;wind;c;3;0;7;6;7;0;0;7
Eupatorium cannabinum;Asteraceae;sp;p2;7;H;H;Art.-Vulg;anemo;anemo;insects;insects;c;2;0;7;5;3;7;7;8
Euphorbia cyparissias;Euphorbiaceae;ap;4;5;H;HG;Fes-Bro;ballo, myrmeko;auto;insects;insects;csr;2;0;8;x;4;3;x;3
Festuca ovina;Poaceae;ap;1;5;H;H;Koe-Cory;anemo;anemo;wind;wind;csr;2;0;7;x;3;x;3;1
Festuca rubra;Poaceae;ap;5;9;H;H;Mol-Arr;anemo;anemo;wind;wind;c;3;0;x;x;5;6;6;x
Filipendula ulmaria;Rosaceae;sp;p2;8;H;H;Mol-Arr;anemo, hydro;anemo;insects, selfing;insects;c;2;0;7;5;x;8;x;5
Galeopsis tetrahit;Lamiaceae;ap;3;2;T;T;Art.-Vulg;zoo;zoo;insects;insects;cr;3;0;7;x;3;5;x;6
Galium album;Rubiacrae;ap;0;9;H;H;Mol-Arr;anemo;anemo;insects;insects;c;3;0;7;x;3;5;7;5
